ID,Produto,Categoria,Preco,Quantidade,Data_Venda,Vendedor,Total_Vendas
1,Produto C,Categoria 3,27.82,19,2023-01-01,Vendedor 1,528.58
2,Produto A,Categoria 1,49.42,14,2023-01-02,Vendedor 3,691.88
3,Produto C,Categoria 3,46.79,13,2023-01-03,Vendedor 2,608.27
4,Produto C,Categoria 1,48.6,15,2023-01-04,Vendedor 3,729.0
5,Produto A,Categoria 3,62.7,16,2023-01-05,Vendedor 1,1003.2
6,Produto A,Categoria 3,56.91,2,2023-01-06,Vendedor 2,113.82
7,Produto C,Categoria 1,23.48,4,2023-01-07,Vendedor 3,93.92
8,Produto B,Categoria 3,15.9,18,2023-01-08,Vendedor 1,286.2
9,Produto C,Categoria 2,75.65,17,2023-01-09,Vendedor 1,1286.0500000000002
10,Produto C,Categoria 1,60.37,10,2023-01-10,Vendedor 3,603.6999999999999
11,Produto C,Categoria 2,42.31,9,2023-01-11,Vendedor 3,380.79
12,Produto C,Categoria 1,82.75,15,2023-01-12,Vendedor 2,1241.25
13,Produto A,Categoria 3,44.93,12,2023-01-13,Vendedor 3,539.16
14,Produto C,Categoria 3,81.64,9,2023-01-14,Vendedor 2,734.76
15,Produto B,Categoria 3,37.52,14,2023-01-15,Vendedor 3,525.2800000000001
16,Produto A,Categoria 1,16.56,13,2023-01-16,Vendedor 1,215.27999999999997
17,Produto B,Categoria 2,93.94,6,2023-01-17,Vendedor 1,563.64
18,Produto B,Categoria 2,45.51,19,2023-01-18,Vendedor 1,864.6899999999999
19,Produto B,Categoria 1,81.34,4,2023-01-19,Vendedor 1,325.36
20,Produto B,Categoria 1,35.12,17,2023-01-20,Vendedor 2,597.04
21,Produto A,Categoria 2,68.17,19,2023-01-21,Vendedor 1,1295.23
22,Produto A,Categoria 2,88.6,3,2023-01-22,Vendedor 2,265.79999999999995
23,Produto B,Categoria 2,13.75,14,2023-01-23,Vendedor 2,192.5
24,Produto B,Categoria 2,84.76,17,2023-01-24,Vendedor 1,1440.92
25,Produto A,Categoria 1,61.42,13,2023-01-25,Vendedor 3,798.46
26,Produto A,Categoria 1,64.67,9,2023-01-26,Vendedor 2,582.03
27,Produto A,Categoria 3,57.08,1,2023-01-27,Vendedor 3,57.08
28,Produto C,Categoria 2,88.7,17,2023-01-28,Vendedor 2,1507.9
29,Produto C,Categoria 3,13.91,16,2023-01-29,Vendedor 1,222.56
30,Produto C,Categoria 1,33.49,18,2023-01-30,Vendedor 3,602.82
31,Produto B,Categoria 1,88.82,2,2023-01-31,Vendedor 1,177.64
32,Produto C,Categoria 3,77.71,14,2023-02-01,Vendedor 2,1087.9399999999998
33,Produto B,Categoria 2,11.59,17,2023-02-02,Vendedor 3,197.03
34,Produto B,Categoria 2,56.53,3,2023-02-03,Vendedor 1,169.59
35,Produto C,Categoria 2,57.66,2,2023-02-04,Vendedor 2,115.32
36,Produto B,Categoria 2,46.08,8,2023-02-05,Vendedor 1,368.64
37,Produto C,Categoria 3,36.77,2,2023-02-06,Vendedor 3,73.54
38,Produto C,Categoria 3,71.36,2,2023-02-07,Vendedor 1,142.72
39,Produto A,Categoria 1,28.7,9,2023-02-08,Vendedor 1,258.3
